Accession,Description,Experiment 1,Experiment 2,Experiment 3,Mitochondrial?,Signal Peptide?,Type II?,Type III?,Multi TM? 
Q969V3,Nicalin,0.911183021,,0.804976557,,1,,,
P63098,Calcineurin subunit B type 1,,1.068133975,,,,,,
Q96RP9,"Elongation factor G, mitochondrial",,,0.689559965,1,,,,
P07339,Cathepsin D,,1.002073112,1.20284591,,1,,,
Q9BRG1,Vacuolar protein-sorting-associated protein 25,,0.844655857,,,,,,
Q99538,Legumain,,,1.509020261,,1,,,
Q8NI36,WD repeat-containing protein 36,,0.994247927,0.689995532,,,,,
P13861,cAMP-dependent protein kinase type II-alpha regulatory subunit,,1.022422037,0.664894653,,,,,
Q06265,Exosome complex component RRP45,,1.054992591,0.7839676,,,,,
P54105,Methylosome subunit pICln,,1.022681908,0.67200324,,,,,
Q9UJZ1,Stomatin-like protein 2,0.948614046,1.032525163,0.770987225,,,,,
Q9UL15,BAG family molecular chaperone regulator 5,,1.081127205,,,,,,
P48723,Heat shock 70 kDa protein 13,0.775493075,,0.617820074,,1,,,
P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",,0.981595746,,1,,,,
Q9BSL1,Ubiquitin-associated domain-containing protein 1,,1.029729088,,,,,,
P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",0.870028908,0.942465789,0.717308053,1,,,,
P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,1.027964882,1.193604474,1.1906978,,1,,,1
Q96KA5,Cleft lip and palate transmembrane protein 1-like protein,1.255696991,1.66090747,1.518911226,,,,,1
P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,0.977423333,1.209231079,1.080625517,,1,,,
Q9BYG3,MKI67 FHA domain-interacting nucleolar phosphoprotein,,1.06461438,0.675725745,,,,,
Q7Z3C6,Autophagy-related protein 9A,1.021394291,1.025810552,1.125241644,,,,,1
Q6UXV4,Apolipoprotein O-like,,,0.786517855,,1,,,
Q9NR50,Translation initiation factor eIF-2B subunit gamma,,1.047534815,,,,,,
O60841,Eukaryotic translation initiation factor 5B,,1.047818067,0.670256403,,,,,
Q9Y2B0,Protein canopy homolog 2,,1.013083036,0.815626114,,1,,,
Q8WTT2,Nucleolar complex protein 3 homolog,,1.090584695,0.69495711,,,,,
P47897,Glutaminyl-tRNA synthetase,1.055985265,1.111878838,0.642963126,,,,,
Q9NY61,Protein AATF,,1.003428518,0.676927055,,,,,
O00161,Synaptosomal-associated protein 23,0.988679882,1.130747353,1.084752817,,,,,
Q15907,Ras-related protein Rab-11B,,,0.698459541,,,,,
O00165,HCLS1-associated protein X-1,1.065307659,,1.125178241,1,,,,
P61254,60S ribosomal protein L26,,0.973236664,0.81695228,,,,,
Q7Z3B4,Nucleoporin p54,,1.046730175,,,,,,
Q5JVF3,PCI domain-containing protein 2,,0.861961225,,,,,,
O14617,AP-3 complex subunit delta-1,1.700726525,0.957772734,1.250734521,,,,,
Q14980,Nuclear mitotic apparatus protein 1,1.00183688,0.974356673,0.665040562,,,,,
Q13620,Cullin-4B,,1.052556771,,,,,,
P55072,Transitional endoplasmic reticulum ATPase,0.981116246,1.032301849,0.784547302,,,,,
P51570,Galactokinase,,0.925403497,,,,,,
P51571,Translocon-associated protein subunit delta,0.998592604,1.157473017,1.078514295,,1,,,
P51572,B-cell receptor-associated protein 31,0.832432832,1.095166453,0.685162404,,,,,1
P52888,Thimet oligopeptidase,,0.908388243,0.55232628,,,,,
Q9P2X0,Dolichol-phosphate mannosyltransferase subunit 3,,,0.825734065,,,,,1
Q9H2D1,Mitochondrial folate transporter/carrier,0.993161507,1.12333737,0.756892761,1,,,,1
O14530,Thioredoxin domain-containing protein 9,,1.133909733,,,,,,
Q8N8Q8,Mitochondrial inner membrane protein COX18,,,0.658253778,1,,,,1
Q01433,AMP deaminase 2,,,0.726794511,,,,,
O95139,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,,,1.355710804,1,,,,
Q9BYD3,"39S ribosomal protein L4, mitochondrial",,,1.081775153,1,,,,
Q9BYD1,"39S ribosomal protein L13, mitochondrial",,1.071825075,,1,,,,
Q9UMY4,Sorting nexin-12,,0.821452768,,,,,,
P17174,"Aspartate aminotransferase, cytoplasmic",,0.929229541,0.616894431,,,,,
Q14353,Guanidinoacetate N-methyltransferase,,1.10756294,0.688041226,,,,,
O95602,DNA-directed RNA polymerase I subunit RPA1,,1.175695903,,,,,,
Q9H6T3,RNA polymerase II-associated protein 3,,0.95085303,,,,,,
Q12913,Receptor-type tyrosine-protein phosphatase eta,,,1.411408321,,1,,,
O95140,Mitofusin-2,,,0.521628211,1,,,,1
Q07020,60S ribosomal protein L18,0.878458404,0.971620872,0.65257982,,,,,
Q07021,"Complement component 1 Q subcomponent-binding protein, mitochondrial",0.870539993,0.950639018,0.70402277,1,,,,
Q9NSE4,"Isoleucyl-tRNA synthetase, mitochondrial",,0.887652226,0.639100579,1,,,,
Q9H173,Nucleotide exchange factor SIL1,,1.154288781,1.515421471,,1,,,
P31641,Sodium- and chloride-dependent taurine transporter,1.141437041,,,,,,,1
P03915,NADH-ubiquinone oxidoreductase chain 5,1.149759607,,1.130298287,1,,,,1
P09525,Annexin A4,1.125257734,1.027522414,1.055168245,,,,,
Q96SU4,Oxysterol-binding protein-related protein 9,,0.904079824,,,,,,
Q96ER9,Coiled-coil domain-containing protein 51,0.837694974,,0.730400592,,,,,1
P14854,Cytochrome c oxidase subunit 6B1,1.095528313,,,1,,,,
Q96S66,Chloride channel CLIC-like protein 1,1.036416023,,1.135217086,,1,,,1
Q15067,Peroxisomal acyl-coenzyme A oxidase 1,,0.908384883,,,,,,
Q03252,Lamin-B2,0.836578793,0.86098069,0.710171495,,,,,
Q9H299,SH3 domain-binding glutamic acid-rich-like protein 3,,,0.642454893,,,,,
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,,0.985571669,0.55975788,,,,,
Q04917,14-3-3 protein eta,1.054305271,0.984559839,0.639506528,,,,,
Q9Y230,RuvB-like 2,0.853035822,0.948332593,0.645517548,,,,,
Q93084,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,0.909390631,,1.064023359,,,,,1
Q9HBH5,Retinol dehydrogenase 14,0.807590525,,,,,,,
P10515,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",,0.903850757,0.785945254,1,,,,
Q8IZ81,ELMO domain-containing protein 2,,,0.710786003,,,,,
P07741,Adenine phosphoribosyltransferase,,1.021153006,0.714754098,,,,,
P09417,Dihydropteridine reductase,,1.803687827,,,,,,
P98172,Ephrin-B1,4.294347437,,,,1,,,
Q12860,Contactin-1,2.131045166,,,,1,,,
Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1,,1.16004034,0.669893401,,,,,
Q9Y6N7,Roundabout homolog 1,1.210618634,,0.808113508,,1,,,
Q9Y6N5,"Sulfide:quinone oxidoreductase, mitochondrial",0.925670464,1.236547299,1.189253889,1,,,,
P18754,Regulator of chromosome condensation,0.918381948,0.908036754,0.724234435,,,,,
P08238,Heat shock protein HSP 90-beta,1.033309321,0.929204522,0.653382483,,,,,
P08621,U1 small nuclear ribonucleoprotein 70 kDa,,0.876686458,0.735886627,,,,,
Q7L014,Probable ATP-dependent RNA helicase DDX46,,0.876591804,0.618883472,,,,,
Q6P1J9,Parafibromin,,0.950183525,0.649742548,,,,,
Q6PKG0,La-related protein 1,,1.029243653,0.73393098,,,,,
P09326,CD48 antigen,2.02763548,2.096438677,2.351257588,,1,,,
Q9BRP4,Proteasomal ATPase-associated factor 1,,0.877818935,,,,,,
Q9H2V7,Protein spinster homolog 1,0.939762634,,,1,,,,1
P51991,Heterogeneous nuclear ribonucleoprotein A3,,0.985094867,0.62614601,,,,,
Q5M775,Cytospin-B,1.259585032,,,,,,,
P14210,Hepatocyte growth factor,5.464830243,,4.498763354,,1,,,
P20645,Cation-dependent mannose-6-phosphate receptor,1.096646773,0.973866678,0.784788671,,1,,,
P06737,"Glycogen phosphorylase, liver form",,0.935826385,0.667661078,,,,,
O15226,NF-kappa-B-repressing factor,,0.984095693,,,,,,
Q9P2J5,"Leucyl-tRNA synthetase, cytoplasmic",0.851807632,0.987542301,0.662868435,,,,,
P28340,DNA polymerase delta catalytic subunit,,0.909385503,0.569829677,,,,,
Q9H845,"Acyl-CoA dehydrogenase family member 9, mitochondrial",0.897741331,1.091235647,0.743444015,1,,,,
Q9BVC6,Transmembrane protein 109,0.975808602,,,,1,,,1
Q92598,Heat shock protein 105 kDa,1.951764865,1.038329065,0.649542153,,,,,
Q8TF71,Monocarboxylate transporter 10,0.801076679,,,,,,,1
Q7Z4Q2,HEAT repeat-containing protein 3,,0.964844031,,,,,,
Q86VP6,Cullin-associated NEDD8-dissociated protein 1,1.106196567,1.015017561,0.726020659,,,,,
P53680,AP-2 complex subunit sigma,,,1.284349454,,,,,
P49069,Calcium signal-modulating cyclophilin ligand,0.960178144,,,,,,,1
Q92597,Protein NDRG1,0.945239819,0.984630915,0.712260005,,,,,
P35237,Serpin B6,,0.990489727,0.646110425,,,,,
Q9UK41,Vacuolar protein sorting-associated protein 28 homolog,,1.203181488,,,,,,
P35232,Prohibitin,0.849333686,0.971397455,0.726115394,1,,,,
P15927,Replication protein A 32 kDa subunit,,1.133565335,0.770109638,,,,,
P30876,DNA-directed RNA polymerase II subunit RPB2,,1.156687493,,,,,,
P15924,Desmoplakin,,1.095016517,0.693645406,,,,,
P53041,Serine/threonine-protein phosphatase 5,,0.955133259,0.741846419,,,,,
Q96KC8,DnaJ homolog subfamily C member 1,0.827745556,1.97458936,1.477762092,,1,,,
P14324,Farnesyl pyrophosphate synthase,,0.92464554,0.60714743,,,,,
Q5K4L6,Long-chain fatty acid transport protein 3,0.947454066,,,1,,,,1
O60669,Monocarboxylate transporter 2,0.820447808,,0.676748317,,,,,1
Q0VGL1,UPF0539 protein C7orf59,1.117620433,,1.36097816,,,,,
decoy,Prostaglandin E2 receptor EP4 subtype,,0.955963197,0.683013722,,,,,
Q8IXM3,"39S ribosomal protein L41, mitochondrial",,1.115780044,,1,,,,
Q9Y3F4,Serine-threonine kinase receptor-associated protein,,1.045963301,0.738406301,,,,,
P17980,26S protease regulatory subunit 6A,1.118794411,1.061737731,0.714889127,,,,,
P17987,T-complex protein 1 subunit alpha,0.975845637,0.958249199,0.656105096,,,,,
Q9BXJ9,"N-alpha-acetyltransferase 15, NatA auxiliary subunit",,0.97454561,0.663018156,,,,,
Q9UKS6,Protein kinase C and casein kinase substrate in neurons protein 3,,1.375096563,,,,,,
Q92685,Dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichyl mannosyltransferase,0.783537102,,0.723612561,,,,,1
O43148,mRNA cap guanine-N7 methyltransferase,,0.625565338,,,,,,
P27144,"Adenylate kinase isoenzyme 4, mitochondrial",,0.919040892,,1,,,,
O76094,Signal recognition particle 72 kDa protein,1.020888551,0.84502057,0.729454027,,,,,
O43143,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,0.916233917,0.97961134,0.724314572,,,,,
Q9Y3T9,Nucleolar complex protein 2 homolog,,0.940841482,,,,,,
O75534,Cold shock domain-containing protein E1,,1.065358092,0.745482537,,,,,
Q96JB5,CDK5 regulatory subunit-associated protein 3,,0.877538622,0.690372679,,,,,
Q92665,"28S ribosomal protein S31, mitochondrial",,1.030518357,,1,,,,
P23470,Receptor-type tyrosine-protein phosphatase gamma,1.294837935,,1.397067884,,1,,,
Q8IYB3,Serine/arginine repetitive matrix protein 1,,0.934009128,,,,,,
Q99615,DnaJ homolog subfamily C member 7,,1.043298822,0.651941884,,,,,
O75663,TIP41-like protein,,1.050546303,,,,,,
Q99613,Eukaryotic translation initiation factor 3 subunit C,1.022876028,0.885431502,0.614957277,,,,,
P04062,Glucosylceramidase,1.532950049,1.435163129,1.66401661,,1,,,
P26368,Splicing factor U2AF 65 kDa subunit,1.037820198,0.968731906,0.657550052,,,,,
P04066,Tissue alpha-L-fucosidase,,,1.083160433,,1,,,
P51812,Ribosomal protein S6 kinase alpha-3,,0.972414687,0.637702188,,,,,
Q8IVB4,Sodium/hydrogen exchanger 9,0.856230021,0.952911917,0.785833171,,,,,1
Q99543,DnaJ homolog subfamily C member 2,,0.881791523,,,,,,
Q9H936,Mitochondrial glutamate carrier 1,0.967194579,1.058767939,0.735717198,1,,,,1
Q9Y5K8,V-type proton ATPase subunit D,2.496458748,,0.755551801,,,,,
P61803,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1,1.094869088,1.05880399,0.800133597,,,,,1
Q9GZT3,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",,0.932725987,,1,,,,
Q15269,Periodic tryptophan protein 2 homolog,,1.032400323,,,,,,
Q9BY77,Polymerase delta-interacting protein 3,,0.963971764,,,,,,
Q9GZT8,NIF3-like protein 1,,0.864672388,,,,,,
P19022,Cadherin-2,1.384946102,,1.361807243,,1,,,
Q8IV08,Phospholipase D3,0.939482221,,0.716786021,,,1,,
P42285,Superkiller viralicidic activity 2-like 2,,1.041695516,0.765172665,,,,,
Q9NPA0,UPF0480 protein C15orf24,,,1.395427945,,1,,,
Q2PZI1,Protein dpy-19 homolog 1,1.323662216,,,,,,,1
P62424,60S ribosomal protein L7a,0.975572166,1.096951537,0.731086309,,,,,
P07900,Heat shock protein HSP 90-alpha,0.914530302,0.950019815,0.63817392,,,,,
Q9Y5X3,Sorting nexin-5,,1.062620528,0.747277384,,,,,
Q99729,Heterogeneous nuclear ribonucleoprotein A/B,,1.059036188,0.730971324,,,,,
Q8IWV1,Lymphocyte transmembrane adapter 1,1.563141075,,1.795365412,,,,1,
Q96RS6,NudC domain-containing protein 1,,0.987484662,0.75350483,,,,,
Q9UNS2,COP9 signalosome complex subunit 3,,0.951388058,0.785083788,,,,,
Q13190,Syntaxin-5,1.010658645,,0.663129041,,,,,
Q14156,Protein EFR3 homolog A,1.017599025,1.03719992,0.819188276,,,,,
Q14157,Ubiquitin-associated protein 2-like,1.026798548,0.984889592,0.711497676,,,,,
Q8WVX9,Fatty acyl-CoA reductase 1,0.897612661,,0.496741441,,,,,
Q14152,Eukaryotic translation initiation factor 3 subunit A,1.069892607,0.990908846,0.644548972,,,,,
Q96K17,Transcription factor BTF3 homolog 4,,0.993619658,,,,,,
O94886,Transmembrane protein 63A,,,1.490175554,,,,,1
Q68D91,Metallo-beta-lactamase domain-containing protein 2,0.817898281,0.896449527,0.653049069,,,,,
Q6ZMU5,Tripartite motif-containing protein 72,1.118502556,1.026074409,1.173358655,,,,,
P21281,"V-type proton ATPase subunit B, brain isoform",0.90458267,1.041219379,0.753591806,,,,,
Q9Y5J9,Mitochondrial import inner membrane translocase subunit Tim8 B,1.132356031,,1.148315281,1,,,,
P21283,V-type proton ATPase subunit C 1,0.88955382,1.030661479,0.691296724,,,,,
O14841,5-oxoprolinase,,0.740357512,,,,,,
P26038,Moesin,0.995189003,0.995767655,0.730824682,,,,,
Q9Y5J1,U3 small nucleolar RNA-associated protein 18 homolog,,0.870172483,,,,,,
O60568,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3",,1.028450027,0.784252275,,1,,,
P19338,Nucleolin,0.924554775,0.994885383,0.635514487,,,,,
Q15397,Pumilio domain-containing protein KIAA0020,,1.038593346,,,,,,
P19623,Spermidine synthase,,0.901507016,0.654915254,,,,,
Q99436,Proteasome subunit beta type-7,,0.874260602,0.621019232,,,,,
P04920,Anion exchange protein 2,0.909597224,1.102256648,0.763483022,,,,,1
P63241,Eukaryotic translation initiation factor 5A-1,,0.922933448,0.609414714,,,,,
O75116,Rho-associated protein kinase 2,,1.203529257,,,,,,
P63244,Guanine nucleotide-binding protein subunit beta-2-like 1,0.929403604,0.971986664,0.663234348,,,,,
P62330,ADP-ribosylation factor 6,0.945417587,,1.31409332,,,,,
Q13443,Disintegrin and metalloproteinase domain-containing protein 9,1.247927809,,1.386116271,,1,,,
P62333,26S protease regulatory subunit 10B,,0.997824042,0.591711431,,,,,
Q13445,Transmembrane emp24 domain-containing protein 1,1.209011311,1.17153685,1.081639301,,1,,,
Q13444,Disintegrin and metalloproteinase domain-containing protein 15,0.734393727,,,,1,,,
Q99439,Calponin-2,,0.84619732,0.565243052,,,,,
Q96S52,GPI transamidase component PIG-S,1.38282451,1.721356797,1.58616938,,,,,1
Q16576,Histone-binding protein RBBP7,,,0.603579281,,,,,
O95070,Protein YIF1A,,,1.088755025,,,,,1
P33121,Long-chain-fatty-acid--CoA ligase 1,,1.214576404,1.091547467,1,,,1,
P26639,"Threonyl-tRNA synthetase, cytoplasmic",1.125400231,0.960229407,0.584343047,,,,,
O95071,E3 ubiquitin-protein ligase UBR5,,1.358571661,,,,,,
Q9NZB2,Constitutive coactivator of PPAR-gamma-like protein 1,,1.027955306,,,,,,
Q9UBU6,Protein FAM8A1,1.26520104,,,,,,,1
Q15599,Na(+)/H(+) exchange regulatory cofactor NHE-RF2,1.104475997,1.087468971,1.09991604,,,,,
O15382,"Branched-chain-amino-acid aminotransferase, mitochondrial",,0.919062478,,1,,,,
Q9UBU9,Nuclear RNA export factor 1,,0.884361445,,,,,,
Q9UDY4,DnaJ homolog subfamily B member 4,,1.20394595,,,,,,
Q9BUL8,Programmed cell death protein 10,,1.327659611,1.191666077,,,,,
Q13509,Tubulin beta-3 chain,,0.988382881,,,,,,
Q9UDY2,Tight junction protein ZO-2,,0.912509305,,,,,,
Q13505,Metaxin-1,0.89764744,1.049248659,0.730769017,1,,,,
P61026,Ras-related protein Rab-10,1.015762083,1.044456303,0.74096134,,,,,
P61020,Ras-related protein Rab-5B,1.03664144,,1.104929045,,,,,
Q06210,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1,,0.765013174,0.58096802,,,,,
P40261,Nicotinamide N-methyltransferase,,0.866464417,0.618146901,,,,,
Q04837,"Single-stranded DNA-binding protein, mitochondrial",,0.993468067,0.560902184,1,,,,
Q16718,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,,0.991185278,,1,,,,
O15143,Actin-related protein 2/3 complex subunit 1B,0.986813549,0.998229822,0.647890674,,,,,
Q9ULQ1,Two pore calcium channel protein 1,0.794529124,,,,,,,1
Q9BW27,Nuclear pore complex protein Nup85,,1.002634892,0.636366167,,,,,
Q08AM6,Protein VAC14 homolog,,0.989547278,,,,,,
Q14CX7,"N-alpha-acetyltransferase 25, NatB auxiliary subunit",,1.019666639,0.750905117,,,,,
O00170,AH receptor-interacting protein,,1.073408526,0.588958718,,,,,
Q7L576,Cytoplasmic FMR1-interacting protein 1,,0.96700259,,,,,,
Q53EL6,Programmed cell death protein 4,,0.936879863,0.741046631,,,,,
P12277,Creatine kinase B-type,1.046682415,0.919580601,0.63957249,,,,,
Q9UQE7,Structural maintenance of chromosomes protein 3,0.969186724,0.982731824,0.6755323,,,,,
O00178,GTP-binding protein 1,,1.054372169,,,,,,
Q9NWT1,p21-activated protein kinase-interacting protein 1,0.8744183,1.02228828,0.603523616,,,,,
P48637,Glutathione synthetase,,0.859306332,,,,,,
Q15287,RNA-binding protein with serine-rich domain 1,,1.010678157,0.760856934,,,,,
Q15286,Ras-related protein Rab-35,0.99099335,,0.767413618,,,,,
P55196,Afadin,1.343633951,0.844076427,1.413441916,,,,,
P61247,40S ribosomal protein S3a,0.95817248,0.929389461,0.614521967,,,,,
Q13618,Cullin-3,,0.998185237,0.650956555,,,,,
Q13619,Cullin-4A,,1.023706106,0.576770854,,,,,
Q5XKP0,Protein QIL1,,1.04556953,,,,,,
P13473,Lysosome-associated membrane glycoprotein 2,1.811691959,1.752825403,1.86141639,,1,,,
P49720,Proteasome subunit beta type-3,1.222179242,0.968439497,0.614040461,,,,,
P49721,Proteasome subunit beta type-2,,1.069936611,0.638809862,,,,,
Q13616,Cullin-1,1.063847794,0.973983031,0.747867993,,,,,
Q13617,Cullin-2,,0.753189389,,,,,,
P15311,Ezrin,0.86592978,1.05109289,0.720554427,,,,,
P60866,40S ribosomal protein S20,0.965053605,0.906302972,0.67790921,,,,,
Q7L1Q6,Basic leucine zipper and W2 domain-containing protein 1,,0.983926721,0.584675332,,,,,
P51452,Dual specificity protein phosphatase 3,,0.986922882,,,,,,
Q96K76,Ubiquitin carboxyl-terminal hydrolase 47,,0.972527197,,,,,,
Q8N8A6,ATP-dependent RNA helicase DDX51,,0.821579303,,,,,,
Q16629,Serine/arginine-rich splicing factor 7,,0.899365433,0.637240429,,,,,
O60888,Protein CutA,,0.932668787,0.506784492,,1,,,
Q8NBQ5,Estradiol 17-beta-dehydrogenase 11,0.873148941,,0.787286022,,1,,,
Q9H0H0,Integrator complex subunit 2,,0.916810027,,,,,,
P56537,Eukaryotic translation initiation factor 6,0.79152928,1.052814329,0.653154833,,,,,
P16278,Beta-galactosidase,0.695296984,0.936309166,0.524776643,,1,,,
Q9NVH1,DnaJ homolog subfamily C member 11,0.766875048,1.129320774,0.779971453,,,,,
Q13561,Dynactin subunit 2,,1.000637451,0.717873568,,,,,
P31785,Cytokine receptor common subunit gamma,1.931094175,,1.871206672,,1,,,
P62266,40S ribosomal protein S23,,1.033238534,0.711536642,,,,,
P51692,Signal transducer and activator of transcription 5B,,0.858363824,,,,,,
P53004,Biliverdin reductase A,,1.06422502,0.660160949,,,,,
P29353,SHC-transforming protein 1,,0.679745589,,1,,,,
O15031,Plexin-B2,0.927055402,0.884746264,0.820317697,,1,,,
P06753,Tropomyosin alpha-3 chain,,0.94110659,0.633772162,,,,,
Q12907,Vesicular integral-membrane protein VIP36,0.855800017,0.959249682,0.722424782,,1,,,
Q12906,Interleukin enhancer-binding factor 3,1.039149481,1.043644843,0.73877075,,,,,
P06756,Integrin alpha-V,2.584902847,,2.64411432,,1,,,
